,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size
90,467434,Male,No,39,Yes,Entertainment,0.0,Low,3.0
91,460956,Female,Yes,47,Yes,Artist,1.0,Average,4.0
92,465179,Female,Yes,61,Yes,Artist,1.0,High,2.0
93,463338,Male,Yes,32,No,Entertainment,1.0,Low,2.0
94,467066,Male,Yes,55,No,Artist,0.0,Low,1.0
95,463845,Male,Yes,58,Yes,Artist,,Average,1.0
96,459976,Female,No,38,Yes,Artist,0.0,Low,1.0
97,461334,Male,Yes,63,Yes,Artist,0.0,High,2.0
98,465108,Male,Yes,58,Yes,Doctor,1.0,Average,2.0
99,462600,Male,Yes,30,No,Engineer,3.0,Average,3.0
100,464144,Male,Yes,60,Yes,Artist,0.0,Average,4.0
101,466911,Male,Yes,68,No,Executive,1.0,High,7.0
102,462806,Male,Yes,52,No,Artist,0.0,Low,3.0
103,463426,Male,Yes,38,No,Executive,0.0,High,5.0
104,464065,Female,Yes,35,Yes,Healthcare,10.0,Low,2.0
105,462979,Male,No,18,No,Doctor,1.0,Low,2.0
106,462834,Male,Yes,30,Yes,Homemaker,3.0,Low,2.0
107,460764,Male,No,86,No,Lawyer,1.0,Low,1.0
108,466466,Female,,19,No,Healthcare,6.0,Low,5.0
109,460185,Male,No,25,No,Healthcare,9.0,Low,3.0
110,459749,Male,Yes,59,Yes,Entertainment,,Low,4.0
111,464406,Female,No,39,Yes,Artist,0.0,Low,1.0
112,467758,Female,Yes,50,Yes,Doctor,1.0,Low,
113,462059,Male,No,47,Yes,Artist,1.0,Low,1.0
114,467905,Male,Yes,43,Yes,Executive,0.0,High,3.0
115,461177,Male,Yes,36,No,Executive,8.0,Average,4.0
116,460765,Male,Yes,80,No,Lawyer,1.0,Low,1.0
117,465386,Male,No,36,Yes,Artist,0.0,Low,2.0
118,465827,Male,No,27,No,,2.0,Low,7.0
119,462332,Female,Yes,37,Yes,Artist,1.0,High,2.0
120,464481,Male,Yes,46,Yes,Executive,0.0,High,3.0
121,461011,Male,Yes,55,No,Executive,1.0,High,4.0
122,464749,Female,Yes,47,No,Engineer,9.0,Average,4.0
123,461094,Female,No,28,Yes,Healthcare,1.0,Low,3.0
124,462104,Male,Yes,39,No,Entertainment,9.0,Low,2.0
125,464524,Female,Yes,27,No,Marketing,1.0,Low,2.0
126,466295,Female,Yes,42,No,Engineer,0.0,Low,
127,461787,Male,Yes,72,Yes,Artist,0.0,Average,2.0
128,467857,Female,Yes,28,Yes,Engineer,0.0,Low,2.0
129,460153,Male,No,35,Yes,Entertainment,8.0,Low,5.0
130,465215,Male,Yes,39,Yes,Executive,9.0,High,5.0
131,466746,Female,Yes,69,Yes,Lawyer,0.0,High,2.0
132,464857,Male,No,18,No,Healthcare,6.0,Low,4.0
133,459478,Male,Yes,46,Yes,Artist,,Low,1.0
134,460723,Female,Yes,50,Yes,Engineer,1.0,High,2.0
135,459853,Male,No,30,No,Executive,5.0,Low,5.0
136,459390,Female,No,41,No,Artist,,Low,2.0
137,460410,Female,No,39,Yes,Artist,3.0,Low,4.0
138,463823,Female,No,29,No,Marketing,8.0,Low,4.0
139,462008,Female,Yes,37,Yes,Artist,4.0,Low,4.0
140,459750,Female,Yes,39,Yes,Engineer,0.0,Average,2.0
141,459880,Female,Yes,48,Yes,Artist,0.0,Average,5.0
142,459261,Female,No,32,Yes,Doctor,0.0,Low,3.0
143,465656,Male,Yes,78,No,Lawyer,1.0,Low,
144,465395,Female,Yes,43,No,Engineer,0.0,Average,5.0
145,461631,Male,No,29,No,Marketing,8.0,Low,5.0
146,464904,Female,Yes,28,No,Engineer,9.0,Average,2.0
147,461740,Male,Yes,80,Yes,Lawyer,1.0,Low,1.0
148,467092,Female,No,28,Yes,Healthcare,7.0,Low,4.0
149,464173,Male,Yes,71,Yes,Artist,6.0,Average,3.0
150,464972,Male,Yes,67,No,Lawyer,0.0,High,9.0
151,467959,Female,No,26,No,Engineer,0.0,Low,1.0
152,467688,Female,Yes,47,Yes,Engineer,0.0,Average,2.0
153,460043,Female,Yes,43,Yes,Artist,2.0,Average,2.0
154,466590,Female,No,27,Yes,Healthcare,0.0,Low,4.0
155,461191,Female,Yes,45,Yes,Marketing,8.0,Low,4.0
156,465662,Male,Yes,76,No,Executive,1.0,Low,1.0
157,459231,Female,Yes,43,Yes,Artist,3.0,Average,4.0
158,466495,Female,Yes,78,Yes,Lawyer,1.0,High,2.0
159,459192,Male,Yes,35,Yes,Artist,3.0,Average,3.0
160,465710,Female,No,49,Yes,Artist,1.0,Low,1.0
161,460258,Female,No,25,Yes,Healthcare,1.0,Low,5.0
162,462813,Male,Yes,37,No,Executive,0.0,Average,5.0
163,463595,Female,No,32,No,Healthcare,1.0,Low,5.0
164,467768,Male,Yes,60,Yes,Doctor,0.0,Average,2.0
165,465291,Female,Yes,45,Yes,Artist,5.0,Average,3.0
166,462996,Female,Yes,49,Yes,Homemaker,9.0,Average,3.0
167,463497,Male,No,32,Yes,Artist,0.0,Low,5.0
168,465301,Female,Yes,40,Yes,Artist,0.0,Low,3.0
169,464702,Male,Yes,59,No,Artist,2.0,Average,2.0
170,459012,Male,Yes,48,Yes,Artist,3.0,Low,5.0
171,465053,Male,Yes,82,Yes,Executive,0.0,High,2.0
172,459420,Female,Yes,70,Yes,Lawyer,0.0,Low,2.0
173,464166,Male,No,31,Yes,Artist,5.0,Low,2.0
174,458987,Female,Yes,72,Yes,Lawyer,0.0,High,2.0
175,467745,Male,Yes,50,Yes,Artist,3.0,Average,4.0
176,464866,Female,No,23,No,Engineer,11.0,Low,1.0
177,461081,Female,No,20,No,Healthcare,2.0,Low,6.0
178,467896,Female,No,22,No,Healthcare,4.0,Low,3.0
179,463991,Female,No,31,Yes,Engineer,8.0,Low,1.0
180,466620,Female,Yes,36,Yes,Artist,7.0,Average,2.0
181,462594,Male,Yes,52,No,Entertainment,,Average,5.0
182,462206,Female,No,29,Yes,Artist,,Low,1.0
183,460697,Male,Yes,40,Yes,Artist,4.0,Average,4.0
184,467934,Female,No,40,Yes,Artist,1.0,Low,1.0
185,460054,Male,Yes,38,Yes,Artist,,Low,2.0
186,459576,Female,Yes,85,No,Lawyer,,Low,
187,467910,Female,No,21,No,Doctor,1.0,Low,3.0
188,467335,Female,Yes,41,No,Engineer,4.0,Average,2.0
189,460263,Male,Yes,40,Yes,Artist,0.0,Low,2.0
190,459340,Male,Yes,53,Yes,Artist,1.0,Average,3.0
191,465622,Female,Yes,42,Yes,Artist,5.0,Low,2.0
192,459395,Male,Yes,42,No,Executive,8.0,Low,2.0
193,467539,Male,Yes,48,Yes,Artist,,Average,4.0
194,466574,Male,Yes,59,Yes,Artist,7.0,Low,2.0
195,466544,Male,Yes,41,Yes,Executive,1.0,Average,3.0
196,463610,Female,Yes,31,Yes,Artist,0.0,Average,2.0
197,465539,Female,Yes,49,Yes,Artist,1.0,High,5.0
198,459823,Male,Yes,67,Yes,Executive,1.0,Low,2.0
199,467614,Male,Yes,35,No,Artist,4.0,Average,2.0
200,459073,Female,No,26,Yes,Healthcare,0.0,Low,3.0
201,466065,Male,,19,No,Healthcare,9.0,Low,3.0
202,464863,Female,Yes,25,No,Engineer,6.0,Average,8.0
203,460022,Female,Yes,39,Yes,Healthcare,4.0,Low,2.0
204,459929,Male,Yes,63,Yes,Entertainment,0.0,Low,2.0
205,466613,Male,No,23,No,Healthcare,8.0,Low,3.0
206,461149,Female,No,23,No,Healthcare,0.0,Low,3.0
207,466068,Female,Yes,53,Yes,Artist,2.0,Low,1.0
208,461513,Male,No,33,Yes,Doctor,0.0,Low,2.0
209,464761,Female,Yes,50,No,Engineer,,Average,4.0
210,466236,Female,Yes,69,Yes,Engineer,0.0,Low,2.0
211,459664,Male,No,37,Yes,Artist,2.0,Low,1.0
212,461967,Female,No,20,No,Marketing,3.0,Low,4.0
213,460516,Female,,85,No,Lawyer,0.0,High,1.0
214,461710,Female,Yes,49,Yes,Doctor,1.0,Average,4.0
215,462742,Male,No,18,No,Healthcare,0.0,Low,3.0
216,459528,Female,Yes,52,Yes,Doctor,0.0,Average,2.0
217,462691,Male,Yes,25,No,Doctor,,Average,2.0
218,462934,Male,Yes,56,No,Executive,,High,2.0
219,465837,Male,No,62,Yes,,0.0,Low,1.0
220,464613,Female,No,35,,Artist,0.0,Low,3.0
221,467515,Male,Yes,28,Yes,Engineer,0.0,Average,2.0
222,463429,Female,No,28,Yes,Artist,7.0,Low,3.0
223,464024,Male,No,20,No,Healthcare,0.0,Low,5.0
224,460691,Female,No,27,No,Homemaker,8.0,Low,1.0
225,461825,Female,No,56,No,Engineer,,Low,1.0
226,467271,Male,Yes,45,Yes,Artist,4.0,Average,4.0
227,465634,Male,No,25,Yes,Healthcare,1.0,Low,4.0
228,464801,Male,No,40,No,Marketing,1.0,Low,1.0
229,459429,Female,Yes,25,Yes,Healthcare,,Low,2.0
230,459888,Female,Yes,74,No,Lawyer,,High,2.0
231,463467,Female,No,23,No,Healthcare,0.0,Low,4.0
232,462036,Female,Yes,67,Yes,Lawyer,0.0,High,2.0
233,461282,Male,No,21,No,Healthcare,0.0,Low,4.0
234,460448,Female,No,38,Yes,Artist,9.0,Low,1.0
235,464464,Male,No,28,No,Healthcare,0.0,Low,4.0
236,462410,Female,No,32,No,Healthcare,1.0,Low,5.0
237,467252,Female,No,33,Yes,,0.0,Low,4.0
238,459756,Female,Yes,56,No,Lawyer,1.0,High,4.0
239,463789,Female,Yes,53,Yes,Artist,1.0,Low,2.0
240,466947,Male,Yes,57,No,Executive,1.0,High,5.0
241,464150,Female,Yes,59,Yes,Artist,0.0,Average,3.0
242,465693,Female,Yes,25,Yes,Healthcare,1.0,High,4.0
243,461670,Male,Yes,59,Yes,Artist,0.0,Average,6.0
244,466768,Female,Yes,36,Yes,Artist,0.0,Low,4.0
245,461550,Male,Yes,37,Yes,Entertainment,7.0,Low,2.0
246,462438,Male,No,22,No,Doctor,1.0,Low,3.0
247,460704,Male,Yes,43,Yes,Artist,1.0,Low,2.0
248,464884,Male,Yes,41,Yes,Artist,1.0,Low,2.0
249,467050,Female,No,21,No,Engineer,0.0,Low,5.0
250,460738,Female,No,49,No,Engineer,1.0,Low,
251,466176,Male,No,38,Yes,Doctor,8.0,Low,1.0
252,459488,Male,Yes,47,No,Artist,,Average,4.0
253,467773,Male,Yes,70,Yes,Lawyer,1.0,High,3.0
254,465425,Female,No,31,No,Engineer,1.0,Low,4.0
255,462318,Female,Yes,82,No,Lawyer,0.0,Average,2.0
256,466078,Female,Yes,51,No,Executive,,Low,1.0
257,460792,Female,No,42,No,Homemaker,11.0,Low,
258,460197,Male,No,38,Yes,Artist,8.0,Low,3.0
259,459375,Male,Yes,18,No,Executive,0.0,High,4.0
260,463862,Male,Yes,50,Yes,Artist,6.0,Average,3.0
261,460144,Female,No,46,Yes,Doctor,1.0,Low,
262,462721,Female,Yes,72,No,Lawyer,1.0,High,3.0
263,459637,Female,No,33,No,Engineer,,Low,4.0
264,465809,Female,No,25,No,Homemaker,1.0,Low,7.0
265,466915,Female,Yes,75,No,Entertainment,2.0,High,2.0
266,467343,Male,No,72,Yes,Artist,1.0,Low,1.0
267,466268,Female,Yes,72,Yes,Artist,0.0,Average,3.0
268,464868,Male,Yes,36,Yes,Entertainment,6.0,Low,6.0
269,464038,Male,Yes,40,Yes,Artist,1.0,Low,2.0
270,460176,Female,No,28,Yes,Entertainment,0.0,Low,4.0
271,462161,Female,No,28,Yes,Doctor,0.0,Low,3.0
272,464841,Male,,19,No,Entertainment,0.0,High,3.0
273,464893,Male,Yes,43,Yes,Artist,0.0,Low,2.0
274,464443,Female,Yes,35,Yes,Artist,1.0,Average,2.0
275,467619,Male,Yes,65,Yes,Lawyer,1.0,High,2.0
276,465974,Male,Yes,52,Yes,Executive,7.0,High,4.0
277,462075,Female,No,40,Yes,Artist,1.0,Low,1.0
278,459494,Female,Yes,69,No,Engineer,9.0,Low,3.0
279,466921,Female,No,22,No,Healthcare,3.0,Low,3.0
280,463544,Male,Yes,47,Yes,Executive,1.0,Average,4.0
281,461167,Male,Yes,29,Yes,Marketing,1.0,High,2.0
282,467364,Male,Yes,46,Yes,Artist,1.0,Average,3.0
283,462408,Male,No,32,Yes,Artist,1.0,Low,2.0
284,466224,Female,No,38,Yes,Healthcare,0.0,Low,1.0
285,465151,Male,Yes,59,Yes,Artist,0.0,Low,1.0
286,467216,Female,No,26,Yes,Entertainment,1.0,Low,1.0
287,460586,Male,No,26,Yes,Healthcare,1.0,Low,2.0
288,461197,Male,No,28,No,Marketing,0.0,Low,1.0
289,462776,Female,Yes,53,Yes,Engineer,1.0,Average,3.0
290,465058,Female,No,43,,Entertainment,,Low,1.0
291,464088,Male,No,27,No,Doctor,1.0,Low,3.0
292,459471,Female,No,32,No,Artist,,Low,8.0
293,464695,Male,No,26,No,Engineer,0.0,Low,4.0
294,462331,Female,No,31,No,Entertainment,0.0,Low,2.0
295,466523,Male,Yes,39,Yes,Executive,1.0,High,3.0
296,465337,Female,Yes,43,No,Engineer,1.0,Low,3.0
297,460834,Male,Yes,25,No,Doctor,1.0,Low,2.0
298,466824,Male,Yes,40,Yes,Artist,3.0,High,3.0
299,461607,Female,Yes,40,Yes,Entertainment,7.0,Average,2.0
300,465091,Male,Yes,63,Yes,Entertainment,,Average,3.0
301,459532,Female,Yes,27,Yes,Healthcare,,Low,2.0
302,466999,Male,No,27,Yes,Healthcare,1.0,Low,3.0
303,466597,Female,No,19,No,Healthcare,1.0,Low,2.0
304,464075,Female,Yes,86,Yes,Lawyer,0.0,High,2.0
305,463394,Male,Yes,41,Yes,Marketing,,High,2.0
306,462163,Female,Yes,27,Yes,Artist,4.0,Average,2.0
307,463895,Female,Yes,70,No,Doctor,0.0,Average,2.0
308,464767,Female,Yes,53,No,Engineer,8.0,Average,4.0
309,464763,Female,Yes,49,No,Engineer,,Average,4.0
310,460718,Male,Yes,55,No,Executive,3.0,Low,
311,461989,Female,,57,Yes,Engineer,0.0,Average,4.0
312,466374,Male,Yes,83,No,Lawyer,,Low,1.0
313,463738,Male,Yes,43,No,Executive,0.0,High,4.0
314,465967,Male,Yes,36,No,Doctor,6.0,Low,3.0
315,462260,Male,Yes,74,Yes,Lawyer,0.0,Low,2.0
316,467234,Female,No,30,No,Homemaker,0.0,Low,4.0
317,466573,Female,No,37,Yes,Artist,5.0,Low,2.0
318,463229,Female,No,22,No,Marketing,0.0,Low,1.0
319,459768,Male,No,19,No,Healthcare,0.0,Low,4.0
320,462541,Male,Yes,70,Yes,Engineer,4.0,High,2.0
321,467714,Male,Yes,89,Yes,Lawyer,13.0,Low,1.0
322,467730,Male,No,18,No,Healthcare,,Low,4.0
323,459474,Male,No,25,Yes,Doctor,6.0,Low,1.0
324,460093,Female,No,45,Yes,Artist,4.0,Low,1.0
325,467865,Female,No,35,Yes,Artist,3.0,Low,1.0
326,465758,Female,Yes,37,No,Engineer,7.0,Low,1.0
327,464184,Female,Yes,39,No,Engineer,4.0,Average,2.0
328,462618,Female,No,32,Yes,Healthcare,1.0,Low,5.0
329,464226,Female,Yes,62,Yes,Artist,2.0,Average,3.0
330,465432,Female,Yes,58,Yes,Engineer,0.0,Average,4.0
331,464087,Female,No,32,No,Engineer,,Low,4.0
332,466627,Male,No,25,No,Healthcare,0.0,Low,5.0
333,467380,Female,Yes,56,Yes,Artist,0.0,Average,4.0
334,465842,Female,No,36,Yes,Entertainment,10.0,Low,2.0
335,464622,Female,No,30,No,Healthcare,8.0,Low,3.0
336,462083,Male,No,19,No,Healthcare,1.0,Low,5.0
337,460910,Male,No,27,Yes,Healthcare,0.0,Low,2.0
338,460255,Female,No,38,Yes,Doctor,14.0,Low,1.0
339,460109,Male,Yes,46,Yes,Artist,8.0,Average,2.0
340,464306,Male,No,29,Yes,Artist,3.0,Low,1.0
341,466835,Male,Yes,51,No,Entertainment,1.0,Average,4.0
342,465192,Male,Yes,55,No,Artist,0.0,Low,1.0
343,463380,Female,Yes,69,Yes,Engineer,1.0,Low,1.0
344,462391,Female,No,26,No,Healthcare,1.0,Low,8.0
345,467086,Female,Yes,83,Yes,Lawyer,0.0,Low,3.0
346,460306,Female,No,39,Yes,Healthcare,9.0,Low,1.0
347,460752,Male,Yes,35,Yes,Artist,9.0,Low,1.0
348,467264,Male,Yes,19,No,Marketing,2.0,High,5.0
349,461646,Female,Yes,60,Yes,Artist,,High,4.0
350,463570,Male,Yes,35,Yes,Artist,,Average,4.0
351,465277,Female,No,53,Yes,Engineer,,Low,1.0
352,467426,Female,Yes,86,No,Lawyer,,Low,
353,466258,Female,No,29,No,Healthcare,1.0,Low,3.0
354,463719,Female,No,26,No,Doctor,0.0,Low,1.0
355,460032,Male,No,36,Yes,Engineer,8.0,Low,1.0
356,465175,Female,No,22,No,Homemaker,0.0,Low,4.0
357,466610,Male,No,19,No,Marketing,0.0,Low,5.0
358,459036,Female,Yes,20,Yes,Lawyer,1.0,Average,3.0
359,464047,Male,No,43,Yes,Healthcare,3.0,Low,3.0
360,459496,Female,No,42,Yes,Artist,,Low,3.0
361,459997,Male,No,43,Yes,Entertainment,1.0,Low,2.0
362,463382,Female,Yes,50,Yes,Engineer,4.0,High,3.0
363,460967,Male,No,25,Yes,Entertainment,1.0,Low,2.0
364,465094,Male,Yes,61,No,Artist,1.0,High,2.0
365,461229,Female,Yes,28,Yes,Healthcare,0.0,Average,2.0
366,466442,Male,No,38,Yes,Artist,1.0,Low,1.0
367,464527,Male,No,25,No,Executive,12.0,Low,3.0
368,463560,Female,No,18,No,Healthcare,9.0,Low,5.0
369,460011,Male,Yes,43,Yes,Entertainment,1.0,Average,5.0
370,467207,Female,No,27,Yes,Artist,8.0,Low,1.0
371,465177,Female,No,60,Yes,Entertainment,1.0,Low,2.0
372,467531,Male,Yes,75,Yes,Lawyer,2.0,Low,1.0
373,465409,Female,No,31,No,Doctor,,Low,4.0
374,462842,Male,No,23,No,Doctor,6.0,Low,4.0
375,462124,Male,No,36,Yes,Artist,8.0,Low,1.0
376,466265,Male,No,30,No,Doctor,1.0,Low,1.0
377,459789,Male,Yes,56,No,Artist,1.0,Average,2.0
378,464223,Female,Yes,52,Yes,Artist,2.0,Low,2.0
379,460280,Male,Yes,39,Yes,Entertainment,0.0,Low,1.0
380,460331,Female,No,35,No,Artist,5.0,Low,1.0
381,461494,Male,Yes,33,No,Engineer,0.0,Average,2.0
382,460035,Female,No,25,Yes,Artist,0.0,Low,6.0
383,463812,Female,Yes,27,Yes,Artist,0.0,Average,2.0
384,465569,Male,Yes,35,Yes,Artist,1.0,High,3.0
385,466333,Female,Yes,41,Yes,Artist,1.0,Average,2.0
386,467668,Female,Yes,49,Yes,Artist,,Average,3.0
387,462723,Female,Yes,46,No,Artist,8.0,Average,2.0
388,460909,Female,No,31,No,Healthcare,,Low,2.0
389,467777,Male,No,49,Yes,Doctor,,Low,1.0
390,462404,Female,No,26,Yes,Artist,9.0,Low,1.0
391,461799,Male,Yes,43,Yes,Doctor,13.0,High,2.0
392,459933,Female,Yes,30,Yes,Artist,8.0,Low,4.0
393,463717,Female,Yes,70,Yes,Artist,1.0,Average,4.0
394,463652,Female,No,28,Yes,Artist,,Low,1.0
395,462149,Female,Yes,89,No,Lawyer,3.0,High,1.0
396,462769,Female,Yes,42,No,Homemaker,6.0,High,4.0
397,465532,Female,Yes,37,Yes,Entertainment,6.0,Average,3.0
398,462829,Male,Yes,29,No,Executive,1.0,Average,3.0
399,459210,Female,Yes,68,Yes,Artist,1.0,High,2.0
400,464659,Female,No,25,No,Engineer,1.0,Low,1.0
401,461411,Male,No,29,No,Healthcare,1.0,Low,
402,467759,Female,Yes,48,Yes,Doctor,0.0,Low,2.0
403,461475,Female,Yes,51,Yes,Doctor,1.0,Average,3.0
404,462714,Female,Yes,40,Yes,Engineer,1.0,High,5.0
405,466890,Male,Yes,47,Yes,Artist,0.0,Average,6.0
406,462888,Male,Yes,39,Yes,Executive,,High,3.0
407,467479,Male,Yes,35,Yes,Executive,1.0,Average,4.0
408,466799,Female,No,19,No,Healthcare,2.0,Low,3.0
409,466557,Female,No,21,No,Healthcare,7.0,Low,
410,460873,Male,Yes,46,Yes,Entertainment,0.0,Average,3.0
411,466776,Male,Yes,86,Yes,Lawyer,0.0,Low,1.0
412,459462,Male,Yes,66,Yes,Artist,0.0,High,2.0
413,465727,Male,No,42,No,Marketing,1.0,Low,5.0
414,462348,Female,Yes,73,Yes,Lawyer,1.0,High,2.0
415,460941,Male,Yes,72,No,Engineer,1.0,Low,1.0
416,461629,Male,Yes,53,Yes,Artist,0.0,Low,3.0
417,459907,Female,Yes,39,Yes,Artist,8.0,Average,2.0
418,467146,Female,No,27,No,Homemaker,9.0,Low,1.0
419,460916,Male,Yes,63,No,Entertainment,1.0,Average,
420,459196,Female,No,23,No,Healthcare,1.0,Low,3.0
421,465444,Female,No,30,Yes,Entertainment,0.0,Low,4.0
422,464186,Female,Yes,39,Yes,Artist,5.0,Average,2.0
423,466412,Male,Yes,26,Yes,Artist,1.0,Average,3.0
424,459480,Female,Yes,50,Yes,Entertainment,7.0,Low,3.0
425,467880,Female,Yes,45,Yes,Artist,1.0,Average,2.0
426,460216,Female,No,62,No,Entertainment,2.0,Low,1.0
427,467941,Female,No,27,Yes,Doctor,1.0,Low,3.0
428,466090,Male,Yes,57,Yes,Entertainment,1.0,Low,
429,462572,Female,Yes,30,No,Engineer,1.0,Average,7.0
430,467443,Male,No,32,No,Healthcare,7.0,Low,4.0
431,462548,Male,No,18,,Executive,,Low,5.0
432,459701,Male,No,47,No,Artist,3.0,Low,3.0
433,461139,Female,No,32,Yes,Artist,4.0,Low,4.0
434,461115,Female,Yes,32,No,Engineer,5.0,Low,3.0
435,459027,Male,Yes,67,Yes,Doctor,1.0,Average,4.0
436,467340,Female,Yes,77,Yes,Lawyer,0.0,High,2.0
437,461410,Male,Yes,79,No,,0.0,Average,2.0
